Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Slovakia,SVK,2006,24.2,21776.1292378063,5398674.0,Europe
Mali,MLI,2006,5.038954264,1983.70555095442,13203378.0,Africa
Canada,CAN,2006,26.75021528,43358.1823908414,32536994.0,North America
Pakistan,PAK,2006,1.272279818,3836.49274978763,164022626.0,Asia
Uganda,UGA,2006,10.84267703,1588.7750631384,28571475.0,Africa
Niger,NER,2006,3.681666699,981.158183921912,14143969.0,Africa
Estonia,EST,2006,33.2,28798.4026229086,1349373.0,Europe
Poland,POL,2007,25.2,21543.1637013335,38353339.0,Europe
Switzerland,CHE,2007,31.2,65641.7106078648,7536986.0,Europe
Lithuania,LTU,2007,27.0,25835.3680157114,3258984.0,Europe
Romania,ROU,2007,23.3,19833.9678688588,21034196.0,Europe
Jordan,JOR,2007,5.279055394,11399.9655461346,6255290.0,Asia
Austria,AUT,2007,35.0,52489.7572106205,8313731.0,Europe
Turkey,TUR,2007,6.5,20009.688894664,69581854.0,Asia
Spain,ESP,2007,22.0,39520.8222657597,45429071.0,Europe
Portugal,PRT,2007,17.0,32251.5690977426,10573150.0,Europe
Angola,AGO,2007,4.082941892,7341.86519904765,20905360.0,Africa
Sweden,SWE,2007,39.5,48557.3843477247,9162941.0,Europe
Italy,ITA,2007,28.7,45356.5367193485,58747862.0,Europe
Liberia,LBR,2007,7.328538518,1333.42222339949,3461911.0,Africa
Cyprus,CYP,2007,16.0,40053.4137891646,1063708.0,Europe
French Polynesia,PYF,2007,13.17600787,,262717.0,Oceania
Luxembourg,LUX,2007,28.9,114889.17999422,474917.0,Europe
Latvia,LVA,2007,26.6,25294.3887250425,2198089.0,Europe
Estonia,EST,2007,33.6,31121.1197640419,1344295.0,Europe
Malta,MLT,2007,19.6,30918.4982683604,407854.0,Europe
Norway,NOR,2007,43.1,64062.4369139561,4719403.0,Europe
Slovakia,SVK,2007,24.5,24127.8846772888,5398693.0,Europe
Fiji,FJI,2007,5.546852335,10573.6168923303,836185.0,Oceania
Finland,FIN,2007,38.5,48664.265707071,5297741.0,Europe
Greece,GRC,2007,20.0,37687.4333370451,11120371.0,Europe
United Kingdom,GBR,2007,31.1,44138.5205042745,61455154.0,Europe
Belgium,BEL,2007,34.1,48589.4600517703,10697576.0,Europe
Tanzania,TZA,2007,7.917203975,1848.98547778787,40681416.0,Africa
United States,USA,2007,26.83538628,55873.2447409949,300608425.0,North America
France,FRA,2007,33.9,43127.2128556843,61869229.0,Europe
Namibia,NAM,2007,14.46713651,8735.71373581277,2006516.0,Africa
Germany,DEU,2007,38.4,47031.2137894261,81277836.0,Europe
Slovenia,SVN,2007,20.8,34912.8471788592,2012128.0,Europe
Netherlands,NLD,2007,35.2,52909.9697572206,16506651.0,Europe
El Salvador,SLV,2007,8.822713598,7238.19214441388,6105810.0,North America
Iceland,ISL,2007,27.5,52827.0101225049,305181.0,Europe
Hungary,HUN,2007,24.4,25477.9492943916,10024158.0,Europe
Zambia,ZMB,2007,7.729479128,2619.72136960841,12502958.0,Africa
Bangladesh,BGD,2007,2.257475128,2537.11119756525,142660381.0,Asia
